id,date_period,global_liquidity_tn$,monthly_change_gl,quarterly_change_gl,annual_change_gl,shadow_monetary_base_tn$,monthly_change_smb,annual_change_smb,quarterly_change_smb,monthly_change_gl_smb,quarterly_change_gl_smb,annual_change_gl_smb,monthly_change_gl_%,quarterly_change_gl_%,annual_change_gl_%,monthly_change_smb_%,quarterly_change_smb_%,annual_change_smb_%,monthly_change_gl_smb_%,quarterly_change_gl_smb_%,annual_change_gl_smb_%,collactural_multiplier
1,01/01/2010,89.19,NULL,NULL,NULL,56.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2,01/02/2010,88.85,-0.3400000000000034,NULL,NULL,65.84,9.46,NULL,NULL,9.120000000000005,NULL,NULL,0,NULL,NULL,16.77899964526428,NULL,NULL,6.265027134711826,NULL,NULL,
3,01/03/2010,88.24,-0.6099999999999994,NULL,NULL,56.17,-9.670000000000002,NULL,NULL,-10.280000000000001,NULL,NULL,0,NULL,NULL,-14.68712029161604,NULL,NULL,-6.645549162841813,NULL,NULL,
4,01/04/2010,88.22,-0.01999999999999602,NULL,NULL,57.07,0.8999999999999986,NULL,NULL,0.8799999999999955,NULL,NULL,0,NULL,NULL,1.6022787965105902,NULL,NULL,0.6093760819887788,NULL,NULL,
5,01/05/2010,85.59,-2.6299999999999955,NULL,NULL,56.27,-0.7999999999999972,NULL,NULL,-3.4299999999999784,NULL,NULL,-2,NULL,NULL,-1.40178727878044,NULL,NULL,-2.360795650079137,NULL,NULL,
6,01/06/2010,86.20,0.6099999999999994,-2.039999999999992,NULL,56.00,-0.2700000000000031,NULL,-0.1700000000000017,0.339999999999975,-2.210000000000008,NULL,0,-2,NULL,-0.47982939399325236,-0.302652661563115,NULL,0.23967291696036583,-1.5303649331763785,NULL,
7,01/07/2010,88.72,2.519999999999996,NULL,NULL,58.25,2.25,NULL,NULL,4.77000000000001,NULL,NULL,2,NULL,NULL,4.017857142857143,NULL,NULL,3.354430379746843,NULL,NULL,
8,01/08/2010,88.11,-0.6099999999999994,NULL,NULL,58.29,0.03999999999999915,NULL,NULL,-0.5699999999999932,NULL,NULL,0,NULL,NULL,0.06866952789699425,NULL,NULL,-0.3878342518881358,NULL,NULL,
9,01/09/2010,91.22,3.1099999999999994,5.019999999999996,NULL,57.94,-0.3500000000000014,NULL,1.9399999999999977,2.759999999999991,6.960000000000008,NULL,3,5,NULL,-0.6004460456339019,3.46428571428571,NULL,1.885245901639338,4.894514767932495,NULL,
10,01/10/2010,92.79,1.5700000000000074,NULL,NULL,59.52,1.5800000000000054,NULL,NULL,3.1500000000000057,NULL,NULL,1,NULL,NULL,2.7269589230238274,NULL,NULL,2.1118262268704786,NULL,NULL,
11,01/11/2010,90.42,-2.3700000000000045,NULL,NULL,59.43,-0.09000000000000341,NULL,NULL,-2.460000000000008,NULL,NULL,-2,NULL,NULL,-0.15120967741936056,NULL,NULL,-1.6151270435296485,NULL,NULL,
12,01/12/2010,92.25,1.8299999999999983,1.0300000000000011,NULL,58.83,-0.6000000000000014,NULL,0.8900000000000006,1.2299999999999898,1.9199999999999875,NULL,2,1,NULL,-1.0095911155981852,1.5360717984121515,NULL,0.820820820820814,1.2872083668543761,NULL,
13,01/01/2011,93.24,0.9899999999999949,NULL,NULL,59.19,0.35999999999999943,NULL,NULL,1.3500000000000227,NULL,NULL,1,NULL,NULL,0.6119326874043846,NULL,NULL,0.8935663224781725,NULL,NULL,
14,01/02/2011,94.18,0.9400000000000119,NULL,NULL,60.29,1.1000000000000014,NULL,NULL,2.039999999999992,NULL,NULL,1,NULL,NULL,1.8584220307484398,NULL,NULL,1.3383192284983219,NULL,NULL,
15,01/03/2011,95.55,1.3699999999999903,3.299999999999997,NULL,61.29,1,NULL,2.460000000000001,2.3700000000000045,5.760000000000019,NULL,1,3,NULL,1.658649859014762,4.1815400305966355,NULL,1.5342785006797466,3.8125496425734844,NULL,
16,01/04/2011,98.63,3.0799999999999983,NULL,NULL,62.55,1.259999999999998,NULL,NULL,4.340000000000003,NULL,NULL,3,NULL,NULL,2.055800293685753,NULL,NULL,2.767151236929357,NULL,NULL,
17,01/05/2011,97.82,-0.8100000000000023,NULL,NULL,62.40,-0.14999999999999858,NULL,NULL,-0.960000000000008,NULL,NULL,0,NULL,NULL,-0.23980815347721596,NULL,NULL,-0.5956073954584985,NULL,NULL,
18,01/06/2011,98.55,0.730000000000004,3,NULL,62.13,-0.269999999999996,NULL,0.8400000000000034,0.46000000000000796,3.8400000000000034,NULL,0,3,NULL,-0.43269230769230127,1.370533529123843,NULL,0.287105230308331,2.448355011476666,NULL,
19,01/07/2011,99.38,0.8299999999999983,NULL,NULL,63.14,1.009999999999998,NULL,NULL,1.839999999999975,NULL,NULL,0,NULL,NULL,1.625623692258165,NULL,NULL,1.1451331839681198,NULL,NULL,
20,01/08/2011,100.14,0.7600000000000051,NULL,NULL,63.43,0.28999999999999915,NULL,NULL,1.0500000000000114,NULL,NULL,0,NULL,NULL,0.45929680076021406,NULL,NULL,0.6460743293133223,NULL,NULL,
21,01/09/2011,97.40,-2.739999999999995,-1.1499999999999915,NULL,62.59,-0.8399999999999963,NULL,0.46000000000000085,-3.579999999999984,-0.6899999999999977,NULL,-2,-1,NULL,-1.3242944978716638,0.7403830677611473,NULL,-2.1886654031912847,-0.4294249439880493,NULL,
22,01/10/2011,99.81,2.4099999999999966,NULL,NULL,63.67,1.0799999999999983,NULL,NULL,3.490000000000009,NULL,NULL,2,NULL,NULL,1.725515258028436,NULL,NULL,2.181386336646046,NULL,NULL,
23,01/11/2011,98.91,-0.9000000000000057,NULL,NULL,62.64,-1.0300000000000011,NULL,NULL,-1.9300000000000068,NULL,NULL,0,NULL,NULL,-1.6177163499293248,NULL,NULL,-1.1805725471005668,NULL,NULL,
